Object Number,RA,DEC,PS1 MAG,INST MAG (R=9),OFFSET
997,13:11:26.8122,-21:48:49.754,15.46,-11.6595,27.1195
1413,13:11:20.3342,-21:45:03.520,15.73,-11.3897,27.1197
1418,13:11:26.8968,-21:42:55.345,15.22,-11.9138,27.1338
1408,13:11:03.5490,-21:43:44.643,15.87,-11.2760,27.1460
1998,13:11:51.5846,-21:43:14.140,15.58,-11.5293,27.1093
1429,13:11:21.3870,-21:40:00.472,15.71,-11.4447,27.1547
966,13:11:48.1520,-21:51:10.279,15.73,-11.3603,27.0903
2244,13:11:17.9959,-21:35:43.839,15.97,-11.1794,27.1494
995,13:11:22.3072,-21:50:21.982,15.90,-11.2504,27.1504
989,13:11:06.8025,-21:52:49.911,15.00,-12.1497,27.1497
,,,,ZERO POINT,27.1399
,,,,ERROR,0.02167967814
