Object Number,RA,DEC,PS1 MAG,INST MAG (R=9),OFFSET
923,13:11:57.1840,-21:55:14.882,15.79,-11.3035,27.0935
748,13:12:02.9759,-21:57:03.869,15.30,-11.8382,27.1382
930,13:11:30.5913,-21:57:02.414,15.56,-11.5525,27.1125
1430,13:11:28.7970,-21:39:46.220,15.83,-11.3073,27.1373
1439,13:10:36.8749,-21:45:03.406,15.62,-11.5829,27.2029
1367,13:10:30.1773,-21:45:40.373,15.81,-11.3385,27.1485
1458,13:10:30.5842,-21:41:11.442,15.55,-11.5998,27.1498
1526,13:10:05.7775,-21:44:09.558,15.12,-12.0740,27.194
1533,13:10:13.7581,-21:41:44.418,15.54,-11.5879,27.1279
1413,13:11:20.3375,-21:45:03.508,15.73,-11.3746,27.1046
,,,,ZERO POINT,27.13775
,,,,ERROR,0.0355
