Object Number,RA,DEC,PS1 MAG,INST MAG (R=9),OFFSET
1413,13:11:20.3375,-21:45:03.508,15.73,-11.4641,26.94
1004,13:11:36.8748,-21:48:28.880,14.02,-13.1028,27.1228
1401,13:11:02.1071,-21:45:27.741,16.82,-10.3390,27.16
787,13:11:12.8485,-22:06:52.328,15.54,-11.6447,27.1847
805,13:10:57.3998,-22:04:41.186,14.72,-12.4375,27.1575
806,13:11:01.4478,-22:04:25.261,16.06,-11.0165,27.0765
4389,13:11:38.0140,-21:42:54.870,16.17,-10.9988,27.1688
4963,13:12:04.0609,-21:42:52.322,14.84,-12.2822,27.1222
5218,13:11:17.9991,-21:35:43.826,15.97,-11.1621,27.1321
1533,13:10:13.7581,-21:41:44.418,15.54,-11.6468,27.1868
,,,,ZERO POINT,27.1575
,,,,ERROR,0.03554947257
