Object Number,RA,DEC,PS1 MAG,INST MAG (R=9),OFFSET
997,13:11:26.8122,-21:48:49.754,15.46,-11.5706,27.0306
966,13:11:48.1520,-21:51:10.279,15.73,-11.3512,27.0812
1011,13:11:53.2933,-21:48:05.547,15.84,-11.1714,27.0114
1429,13:11:21.3870,-21:40:00.472,15.71,-11.3625,27.0725
1446,13:10:49.6414,-21:42:09.005,15.22,-11.8552,27.0752
923,13:11:57.1808,-21:55:14.895,15.79,-11.2750,27.065
1897,13:12:13.3274,-21:44:51.240,15.02,-12.0432,27.0632
950,13:11:59.4986,-21:52:59.884,15.63,-11.4058,27.0358
1998,13:11:51.5846,-21:43:14.140,15.58,-11.4503,27.0303
995,13:11:22.3072,-21:50:21.982,15.90,-11.1955,27.0955
,,,,ZERO POINT,27.0641
,,,,ERROR,0.0272270719
