Object Number,RA,DEC,PS1 MAG,INST MAG (R=9),OFFSET
1408,13:11:03.5490,-21:43:44.644,15.87,-11.2867,27.1567
950,13:11:59.4986,-21:52:59.884,15.63,-11.5448,27.1748
1429,13:11:21.3870,-21:40:00.473,15.71,-11.4029,27.1129
1377,13:10:20.4343,-21:45:00.305,15.24,-11.9759,27.2159
1361,13:10:26.3456,-21:46:23.500,15.59,-11.6256,27.2156
1026,13:11:39.1839,-21:43:57.969,15.27,-11.8530,27.123
1418,13:11:26.8969,-21:42:55.345,15.22,-11.9347,27.1547
1413,13:11:20.3343,-21:45:03.521,15.73,-11.3729,27.1029
989,13:11:06.8025,-21:52:49.911,15.00,-12.1520,27.152
1367,13:10:30.1740,-21:45:40.386,15.81,-11.3730,27.183
,,,,ZERO POINT,27.1557
,,,,ERROR,0.03931042412
