Object Number,RA,DEC,PS1 MAG,INST MAG (R=9),OFFSET
1458,13:10:30.5809,-21:41:11.455,15.55,-11.5564,27.1064
1394,13:10:50.4940,-21:47:05.495,15.35,-11.8605,27.2105
1446,13:10:49.6415,-21:42:09.005,15.22,-11.8717,27.0917
997,13:11:26.8123,-21:48:49.754,15.46,-11.6046,27.0646
1418,13:11:26.8969,-21:42:55.345,15.22,-11.8564,27.0764
1026,13:11:39.1839,-21:43:57.968,15.27,-11.7852,27.0552
1413,13:11:20.3343,-21:45:03.521,15.73,-11.3323,27.0623
1408,13:11:03.5490,-21:43:44.644,15.87,-11.2356,27.1056
1367,13:10:30.1740,-21:45:40.386,15.81,-11.3142,27.1242
1619,13:10:23.1299,-21:38:09.379,15.51,-11.6498,27.1598
,,,,ZERO POINT,27.09865
,,,,ERROR,0.04879674511
