Object Number,RA,DEC,PS1 MAG,INST MAG (R=9),OFFSET
997,13:11:26.8155,-21:48:49.741,15.46,-11.8513,27.3113
1458,13:10:30.5842,-21:41:11.443,15.55,-11.8432,27.3932
1430,13:11:28.7968,-21:39:46.226,15.83,-11.5158,27.3458
1418,13:11:26.8999,-21:42:55.335,15.22,-12.0942,27.3142
989,13:11:06.8058,-21:52:49.891,15.00,-12.3484,27.3484
1480,13:11:14.8485,-21:38:30.773,15.28,-12.0661,27.3461
995,13:11:22.3103,-21:50:21.964,15.90,-11.4472,27.3472
950,13:11:59.5014,-21:52:59.867,15.63,-11.7065,27.3365
931,13:11:23.2551,-21:56:37.451,15.30,-12.0406,27.3406
920,13:11:48.3861,-21:55:57.708,15.06,-12.2484,27.3084
,,,,ZERO POINT,27.3432
,,,,ERROR,0.02475906344
