Object Number,RA,DEC,PS1 MAG,INST MAG (R=5),OFFSET
3873,13:10:51.0294,-21:54:53.292,15.11,-12.1526,27.2626
1379,13:10:15.3385,-21:45:50.275,15.32,-12.0236,27.3436
1378,13:10:20.2981,-21:45:00.577,15.24,-12.0906,27.3306
1352,13:10:27.9396,-21:49:18.895,15.53,-11.7482,27.2782
1367,13:10:30.3326,-21:45:14.745,15.26,-12.0301,27.2901
1534,13:10:13.7551,-21:41:44.431,15.54,-11.7585,27.2985
1395,13:10:50.4944,-21:47:05.494,15.35,-12.0447,27.3947
990,13:11:06.8027,-21:52:49.906,15.00,-12.2538,27.2538
1530,13:09:47.9796,-21:44:31.811,15.69,-11.7000,27.39
1619,13:10:23.1299,-21:38:09.379,15.51,-11.8127,27.3227
,,,,ZERO POINT,27.3106
,,,,ERROR,0.04923130892
